Message Type,Event Time,Ingestion Timestamp,Sequence Number,Latitude,Longitude,Altitude,Heading,Packet Status,Vehicle Speed,GPS Speed,GPS Odometer,FixQuality,Number of Satellites,Config Version,Firmware Version
HEARTBEAT_MESSAGE,2023-11-21 01:43:18,2023-11-21 01:43:18,0,0.0,0.0,,,,,,,,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 01:51:29,2023-11-21 05:55:21,0,12.95263,79.96507,34,100,A,,,,FixOK,14,V_0115,DALCC00406
IGNITION_OFF_HB_MESSAGE,2023-11-21 01:51:29,2023-11-21 05:55:21,0,12.95263,79.96507,34,100,A,,,,FixOK,14,V_0115,DALCC00406
HEARTBEAT_MESSAGE,2023-11-21 05:43:36,2023-11-21 05:43:36,0,0.0,0.0,,,,,,,,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:44:38,2023-11-21 05:55:21,0,12.95245,79.96512,34,100,A,,,,FixOK,14,V_0115,DALCC00406
IGNITION_OFF_HB_MESSAGE,2023-11-21 05:44:38,2023-11-21 05:55:21,0,12.95245,79.96512,34,100,A,,,,FixOK,14,V_0115,DALCC00406
TRIP_START,2023-11-21 05:54:31,2023-11-21 05:55:23,1,12.95252,79.96517,,,,,,,StoredFix,,V_0115,DALCC00406
VERSION_UPDATE,2023-11-21 05:54:34,2023-11-21 05:55:23,1,12.95252,79.96517,,,,,,,StoredFix,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:54:34,2023-11-21 05:55:25,2,12.95252,79.96517,34,100,,,,,StoredFix,14,V_0115,DALCC00406
IGNITION_ON,2023-11-21 05:54:35,2023-11-21 05:55:25,1,12.95252,79.96517,,,,,,,StoredFix,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:54:39,2023-11-21 05:55:27,3,12.95264,79.96514,28,219,A,,,,FixOK,9,V_0115,DALCC00406
IGNITION_OFF,2023-11-21 05:54:39,2023-11-21 05:55:27,2,12.95264,79.96514,,,,,,,FixOK,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:54:40,2023-11-21 05:55:29,39134,12.95261,79.96512,9.32,255.27,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:54:46,2023-11-21 05:55:29,39135,12.95259,79.96511,42.4,289.69,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:54:52,2023-11-21 05:55:32,39136,12.95259,79.96511,44.0,248.13,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:54:58,2023-11-21 05:55:32,39137,12.95259,79.96512,44.4,225.33,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:04,2023-11-21 05:55:34,39138,12.9526,79.96512,40.7,298.44,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:10,2023-11-21 05:55:34,39139,12.9526,79.96513,38.799,214.72,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:16,2023-11-21 05:55:36,39140,12.95262,79.96516,37.2,112.19,A,0.0,,,FixOK,9,V_0115,DALCC00406
HEARTBEAT_MESSAGE,2023-11-21 05:55:18,2023-11-21 05:55:18,0,0.0,0.0,,,,,,,,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:22,2023-11-21 05:55:36,39141,12.95261,79.96516,34.5,134.19,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:28,2023-11-21 05:55:38,39142,12.9526,79.96517,33.4,61.77,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:34,2023-11-21 05:55:38,39143,12.9526,79.96516,32.4,346.64,A,0.0,,,FixOK,11,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:55:36,2023-11-21 05:55:40,9,12.9526,79.96516,32,90,A,,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:40,2023-11-21 05:55:42,39144,12.9526,79.96516,32.299,193.25,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:46,2023-11-21 05:55:49,39145,12.95261,79.96518,31.799,303.14,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:52,2023-11-21 05:55:55,39146,12.95262,79.96518,31.6,62.24,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:55:58,2023-11-21 05:56:01,39147,12.95262,79.96518,31.2,210.97,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:04,2023-11-21 05:56:07,39148,12.95261,79.96518,31.2,150.97,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:10,2023-11-21 05:56:13,39149,12.95261,79.96518,32.0,196.44,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:16,2023-11-21 05:56:19,39150,12.95261,79.96517,32.799,83.45,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:22,2023-11-21 05:56:25,39151,12.95261,79.96518,34.0,123.06,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:28,2023-11-21 05:56:31,39152,12.95258,79.96516,35.9,223.16,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:34,2023-11-21 05:56:37,39153,12.95259,79.96516,36.4,165.88,A,0.0,,,FixOK,10,V_0115,DALCC00406
IGNITION_ON,2023-11-21 05:56:34,2023-11-21 05:56:37,3,12.95259,79.96516,,,,,,,FixInvalid,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:56:36,2023-11-21 05:56:39,4,12.95259,79.96516,35,195,A,,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:40,2023-11-21 05:56:43,39154,12.95259,79.96516,36.099,104.45,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:46,2023-11-21 05:56:49,39155,12.95259,79.9652,33.7,140.41,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:52,2023-11-21 05:56:55,39156,12.95259,79.96517,32.299,112.01,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:56:58,2023-11-21 05:57:01,39157,12.9526,79.96516,32.599,163.63,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:57:04,2023-11-21 05:57:07,39158,12.95259,79.96513,32.299,126.47,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:57:10,2023-11-21 05:57:13,39159,12.95259,79.96513,31.899,124.87,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:57:16,2023-11-21 05:57:19,39160,12.95258,79.96513,32.4,151.16,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:57:22,2023-11-21 05:57:25,39161,12.95253,79.96518,32.7,142.36,A,0.0,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:57:28,2023-11-21 05:57:31,39162,12.95246,79.96529,33.099,113.43,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:57:34,2023-11-21 05:57:37,39163,12.95245,79.96543,32.5,76.84,A,0.0,,,FixOK,12,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:57:36,2023-11-21 05:57:39,15,12.95247,79.96549,31,61,A,,,,FixOK,12,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:57:40,2023-11-21 05:57:43,39164,12.95253,79.96555,30.6,28.7,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:57:46,2023-11-21 05:57:49,39165,12.95265,79.9656,29.2,64.38,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:57:52,2023-11-21 05:57:55,39166,12.95264,79.96567,28.2,108.95,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:57:58,2023-11-21 05:58:01,39167,12.95258,79.96574,26.799,113.34,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:58:04,2023-11-21 05:58:07,39168,12.95257,79.96577,25.7,60.72,A,0.0,,,FixOK,11,V_0115,DALCC00406
IGNITION_OFF,2023-11-21 05:58:04,2023-11-21 05:58:07,4,12.95257,79.96577,,,,,,,FixInvalid,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:58:10,2023-11-21 05:58:13,39169,12.95257,79.96577,25.899,85.2,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:58:16,2023-11-21 05:58:19,39170,12.95257,79.96576,28.5,72.95,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:58:22,2023-11-21 05:58:25,39171,12.95256,79.96574,33.0,205.11,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:58:28,2023-11-21 05:58:31,39172,12.95256,79.96573,36.4,211.8,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:58:34,2023-11-21 05:58:37,39173,12.95255,79.96573,36.5,118.83,A,0.0,,,FixOK,11,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:58:36,2023-11-21 05:58:39,10,12.95255,79.96573,35,131,A,,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:58:40,2023-11-21 05:58:43,39174,12.95255,79.96573,35.799,90.91,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:58:46,2023-11-21 05:58:49,39175,12.95256,79.96575,34.799,113.73,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:58:52,2023-11-21 05:58:55,39176,12.95256,79.96574,34.5,357.02,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:58:58,2023-11-21 05:59:01,39177,12.95257,79.96575,34.599,191.03,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:59:04,2023-11-21 05:59:07,39178,12.95256,79.96574,34.7,107.36,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:59:10,2023-11-21 05:59:13,39179,12.95258,79.96574,34.799,127.34,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:59:16,2023-11-21 05:59:19,39180,12.95259,79.96575,35.099,283.07,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:59:22,2023-11-21 05:59:25,39181,12.9526,79.96575,35.099,337.98,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:59:28,2023-11-21 05:59:31,39182,12.95258,79.96574,35.299,155.66,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:59:34,2023-11-21 05:59:37,39183,12.95258,79.96574,35.4,89.36,A,0.0,,,FixOK,11,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 05:59:36,2023-11-21 05:59:39,5,12.95258,79.96575,35,87,A,,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:59:40,2023-11-21 05:59:43,39184,12.95257,79.96575,35.7,208.3,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:59:46,2023-11-21 05:59:49,39185,12.95257,79.96576,34.599,61.72,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:59:52,2023-11-21 05:59:55,39186,12.95257,79.96576,34.7,95.55,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 05:59:58,2023-11-21 06:00:01,39187,12.95257,79.96576,34.9,359.39,A,0.0,,,FixOK,11,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:00:02,2023-11-21 06:00:05,10,12.95257,79.96576,34,318,A,,,,FixOK,11,V_0115,DALCC00406
TRIP_END,2023-11-21 06:00:02,2023-11-21 06:00:05,10,12.95257,79.96576,,,,,,,FixOK,,V_0115,DALCC00406
TRIP_START,2023-11-21 06:13:28,2023-11-21 06:14:29,0,12.95257,79.96576,,,,,,,StoredFix,,V_0115,DALCC00406
VERSION_UPDATE,2023-11-21 06:13:31,2023-11-21 06:14:29,0,12.95257,79.96576,,,,,,,StoredFix,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:13:31,2023-11-21 06:14:31,1,12.95257,79.96576,34,318,,,,,StoredFix,11,V_0115,DALCC00406
IGNITION_ON,2023-11-21 06:13:32,2023-11-21 06:14:31,1,12.95257,79.96576,,,,,,,StoredFix,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:13:37,2023-11-21 06:14:33,39188,12.95257,79.96576,34.799,318.55,V,0.0,,,StoredFix,11,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:13:43,2023-11-21 06:14:33,2,12.95248,79.96595,34,104,A,,,,FixOK,7,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:13:43,2023-11-21 06:14:37,39189,12.95248,79.96595,34.799,104.4,A,0.0,,,FixOK,7,V_0115,DALCC00406
IGNITION_OFF,2023-11-21 06:13:44,2023-11-21 06:14:37,2,12.95247,79.96592,,,,,,,FixOK,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:13:50,2023-11-21 06:14:39,39190,12.95252,79.96582,38.9,145.0,A,0.0,,,FixOK,7,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:13:56,2023-11-21 06:14:39,39191,12.95252,79.96585,28.299,173.69,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:14:02,2023-11-21 06:14:41,39192,12.95252,79.96586,25.2,128.03,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:14:08,2023-11-21 06:14:41,39193,12.95252,79.96586,29.799,92.83,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:14:14,2023-11-21 06:14:43,39194,12.95254,79.96584,35.5,287.79,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:14:20,2023-11-21 06:14:43,39195,12.95255,79.96584,36.299,69.18,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:14:26,2023-11-21 06:14:46,39196,12.95257,79.96582,36.2,349.89,A,0.0,,,FixOK,11,V_0115,DALCC00406
HEARTBEAT_MESSAGE,2023-11-21 06:14:26,2023-11-21 06:14:26,0,0.0,0.0,,,,,,,,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:14:32,2023-11-21 06:14:46,39197,12.95256,79.96582,36.0,171.97,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:14:38,2023-11-21 06:14:51,39198,12.95255,79.96581,36.4,107.19,A,0.0,,,FixOK,10,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:14:39,2023-11-21 06:14:51,8,12.95255,79.96581,36,125,A,,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:14:43,2023-11-21 06:14:57,39199,12.95255,79.96582,36.4,234.52,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:14:49,2023-11-21 06:15:03,39200,12.95255,79.96582,36.299,123.73,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:14:55,2023-11-21 06:15:09,39201,12.95255,79.96581,36.599,299.39,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:15:01,2023-11-21 06:15:15,39202,12.95256,79.96581,36.799,110.22,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:15:07,2023-11-21 06:15:21,39203,12.95255,79.96582,36.7,137.27,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:15:13,2023-11-21 06:15:27,39204,12.95255,79.9658,36.799,54.34,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:15:19,2023-11-21 06:15:33,39205,12.95255,79.9658,36.9,259.64,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:15:25,2023-11-21 06:15:39,39206,12.95255,79.9658,36.799,136.0,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:15:31,2023-11-21 06:15:45,39207,12.95253,79.96579,37.2,241.94,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:15:37,2023-11-21 06:15:51,39208,12.95254,79.96579,37.2,134.88,A,0.0,,,FixOK,9,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:15:39,2023-11-21 06:15:53,3,12.95254,79.96579,37,201,A,,,,FixOK,9,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:15:43,2023-11-21 06:15:55,4,12.95254,79.96579,37,194,A,,,,FixOK,9,V_0115,DALCC00406
TRIP_END,2023-11-21 06:15:43,2023-11-21 06:15:55,4,12.95254,79.96579,,,,,,,FixOK,,V_0115,DALCC00406
TRIP_START,2023-11-21 06:22:51,2023-11-21 06:23:44,0,12.95254,79.96579,,,,,,,StoredFix,,V_0115,DALCC00406
VERSION_UPDATE,2023-11-21 06:22:54,2023-11-21 06:23:44,0,12.95254,79.96579,,,,,,,StoredFix,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:22:54,2023-11-21 06:23:46,1,12.95254,79.96579,37,194,,,,,StoredFix,9,V_0115,DALCC00406
IGNITION_ON,2023-11-21 06:22:54,2023-11-21 06:23:46,1,12.95254,79.96579,,,,,,,StoredFix,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:23:00,2023-11-21 06:23:48,39209,12.95237,79.96587,35.9,197.49,A,0.0,,,FixOK,6,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:23:04,2023-11-21 06:23:48,2,12.95249,79.96577,55,116,A,,,,FixOK,7,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:23:06,2023-11-21 06:23:51,39210,12.95249,79.96579,57.2,116.37,A,0.0,,,FixOK,8,V_0115,DALCC00406
IGNITION_OFF,2023-11-21 06:23:10,2023-11-21 06:23:51,2,12.95247,79.96582,,,,,,,FixOK,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:23:12,2023-11-21 06:23:53,39211,12.95246,79.96582,48.5,146.27,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:23:18,2023-11-21 06:23:53,39212,12.95246,79.96583,47.4,106.51,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:23:24,2023-11-21 06:23:55,39213,12.95248,79.96585,46.599,357.33,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:23:30,2023-11-21 06:23:55,39214,12.95249,79.96585,45.799,314.85,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:23:36,2023-11-21 06:23:58,39215,12.9525,79.96585,44.299,295.27,A,0.0,,,FixOK,10,V_0115,DALCC00406
HEARTBEAT_MESSAGE,2023-11-21 06:23:41,2023-11-21 06:23:41,0,0.0,0.0,,,,,,,,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:23:42,2023-11-21 06:23:58,39216,12.9525,79.96585,43.0,300.88,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:23:48,2023-11-21 06:24:00,39217,12.95253,79.96585,43.5,251.13,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:23:54,2023-11-21 06:24:00,39218,12.95254,79.96586,45.2,358.5,A,0.0,,,FixOK,8,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:24:00,2023-11-21 06:24:06,8,12.95253,79.96588,45,51,A,,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:24:00,2023-11-21 06:24:06,39219,12.95253,79.96588,45.9,51.22,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:24:06,2023-11-21 06:24:12,39220,12.95253,79.96587,46.2,276.13,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:24:12,2023-11-21 06:24:18,39221,12.95253,79.96588,46.2,99.93,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:24:18,2023-11-21 06:24:24,39222,12.95249,79.96586,46.099,227.14,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:24:24,2023-11-21 06:24:30,39223,12.95248,79.96587,45.7,177.38,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:24:30,2023-11-21 06:24:36,39224,12.95248,79.96589,45.0,136.1,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:24:36,2023-11-21 06:24:42,39225,12.95248,79.9659,44.7,161.11,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:24:42,2023-11-21 06:24:48,39226,12.9525,79.96588,44.9,11.22,A,0.0,,,FixOK,10,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:24:48,2023-11-21 06:24:54,39227,12.95253,79.96587,45.599,105.87,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:24:54,2023-11-21 06:25:00,39228,12.95253,79.96586,45.099,296.76,A,0.0,,,FixOK,9,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:25:00,2023-11-21 06:25:06,2,12.95252,79.96586,45,150,A,,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:25:00,2023-11-21 06:25:06,39229,12.95252,79.96586,45.099,150.69,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:25:06,2023-11-21 06:25:12,39230,12.95251,79.96586,45.099,90.36,A,0.0,,,FixOK,9,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:25:08,2023-11-21 06:25:14,4,12.95252,79.96587,45,23,A,,,,FixOK,9,V_0115,DALCC00406
TRIP_END,2023-11-21 06:25:08,2023-11-21 06:25:14,4,12.95252,79.96587,,,,,,,FixOK,,V_0115,DALCC00406
TRIP_START,2023-11-21 06:27:12,2023-11-21 06:28:08,0,12.95252,79.96587,,,,,,,StoredFix,,V_0115,DALCC00406
VERSION_UPDATE,2023-11-21 06:27:15,2023-11-21 06:28:08,0,12.95252,79.96587,,,,,,,StoredFix,,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:27:15,2023-11-21 06:28:10,1,12.95252,79.96587,45,23,,,,,StoredFix,9,V_0115,DALCC00406
IGNITION_ON,2023-11-21 06:27:15,2023-11-21 06:28:10,1,12.95252,79.96587,,,,,,,StoredFix,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:27:21,2023-11-21 06:28:12,39231,12.95264,79.96586,46.5,229.52,A,0.0,,,FixOK,6,V_0115,DALCC00406
GPS_MESSAGE,2023-11-21 06:27:25,2023-11-21 06:28:12,2,12.9526,79.96589,46,39,A,,,,FixOK,7,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:27:27,2023-11-21 06:28:14,39232,12.95257,79.96592,46.599,82.73,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:27:33,2023-11-21 06:28:14,39233,12.95253,79.966,46.5,133.89,A,0.0,,,FixOK,7,V_0115,DALCC00406
IGNITION_OFF,2023-11-21 06:27:35,2023-11-21 06:28:16,2,12.95252,79.96597,,,,,,,FixOK,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:27:39,2023-11-21 06:28:16,39234,12.95251,79.96596,46.4,185.58,A,0.0,,,FixOK,8,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:27:45,2023-11-21 06:28:19,39235,12.95249,79.96595,46.4,155.69,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:27:51,2023-11-21 06:28:19,39236,12.95249,79.96595,46.4,353.72,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:27:57,2023-11-21 06:28:21,39237,12.95251,79.96595,46.299,214.64,A,0.0,,,FixOK,11,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:28:03,2023-11-21 06:28:21,39238,12.95252,79.96595,46.299,74.83,A,0.0,,,FixOK,11,V_0115,DALCC00406
HEARTBEAT_MESSAGE,2023-11-21 06:28:05,2023-11-21 06:28:05,0,0.0,0.0,,,,,,,,,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:28:09,2023-11-21 06:28:23,39239,12.95254,79.96595,45.9,328.27,A,0.0,,,FixOK,9,V_0115,DALCC00406
LCV_BS6_OBD2_PERIODIC,2023-11-21 06:28:15,2023-11-21 06:28:23,39240,12.95256,79.96594,45.799,208.64,A,0.0,,,FixOK,9,V_0115,DALCC00406
